0.31033,0.0032226,0.46958,-0.2576,0.12549,0.58731,-0.24353,0.30563
0.13126,-0.32034,0.23876,0.67237,-0.21861,-0.26274,0.067909,0.3856
-0.60731,-0.29578,0.058844,-0.39097,-0.37679,0.026699,0.14414,0.15162
0.31403,0.3343,0.16583,-0.23407,-0.19021,-0.18259,0.69569,-0.15187
0.30748,0.11022,-0.17427,-0.27113,-0.33757,-0.44821,-0.6063,-0.079798
-0.20458,0.6882,-0.061748,0.30414,0.16197,0.06616,-0.060961,0.077465
-0.48608,0.19032,-0.0098813,0.11217,0.041118,0.043434,-0.1665,-0.10363
0.20943,-0.19619,-0.63617,0.19093,-0.22009,0.51816,0.10202,-0.22146
-0.020258,-0.30972,0.32895,0.0967,0.34426,-0.085497,-0.065199,-0.71732
0.045701,-0.20425,-0.3799,-0.22254,0.67043,-0.26272,0.13273,0.35376
